Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2023-05-30,NEWCASTLE,1,FREEDOM TO DREAM,4,MADELINE OWEN,DALE WAGSTAFF,17.0,,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,1,ICONIC STORY,2,AARON BULLOCK,BRETT PARTELLE,3.5,1.0,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,1,BILQUIS,7,NOT NOTIFIED,MICHEAL RINKIN,0.0,,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,1,LIKA SUN,5,DARRYL MCLELLAN,STEVE HODGE,31.0,2.0,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,1,PRIDEFILLY,6,KODY NESTOR,NATHAN DOYLE,10.0,,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,1,DAYU,4,NOT NOTIFIED,TRACEY BARTLEY,6.0,,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,1,HARD PICK,7,SAM CLIPPERTON,EDWARD CUMMINGS,3.0,4.0,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,1,GO ISLA GO,3,JENNY DUGGAN,DAMIEN LANE,7.0,,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,1,NIGHTCAPPED,1,ASHLEY MORGAN,NATHAN DOYLE,4.0,3.0,900,MDN-SW,SOFT5,FINE,9
2023-05-30,NEWCASTLE,2,ASVA,8,CHAD SCHOFIELD,PETER & PAUL SNOWDEN,1.33,2.0,1300,MAIDEN,SOFT5,FINE,8
2023-05-30,NEWCASTLE,2,FUTTAIM,5,ANDREW ADKINS,"MICHAEL, WAYNE & JOHN HAWKES",10.0,3.0,1300,MAIDEN,SOFT5,FINE,8
2023-05-30,NEWCASTLE,2,BELIEVE THE HYPE,4,REECE JONES,PETER & PAUL SNOWDEN,34.0,,1300,MAIDEN,SOFT5,FINE,8
2023-05-30,NEWCASTLE,2,ALIGN THE PLANETS,6,TOM SHERRY,JOHN O'SHEA,9.5,,1300,MAIDEN,SOFT5,FINE,8
2023-05-30,NEWCASTLE,2,LORD FINLAND,2,TYLER SCHILLER,LUKE PEPPER,11.0,4.0,1300,MAIDEN,SOFT5,FINE,8
2023-05-30,NEWCASTLE,2,MR EXTREME,3,KEAGAN LATHAM,MICHAEL FREEDMAN,17.0,1.0,1300,MAIDEN,SOFT5,FINE,8
2023-05-30,NEWCASTLE,2,JAXON'S DAY,7,SERG LISNYY,MICHEAL RINKIN,126.0,,1300,MAIDEN,SOFT5,FINE,8
2023-05-30,NEWCASTLE,2,POZESANA,1,KERRIN MCEVOY,CHRIS WALLER,19.0,,1300,MAIDEN,SOFT5,FINE,8
2023-05-30,NEWCASTLE,3,ASVA,2,CHAD SCHOFIELD,PETER & PAUL SNOWDEN,2.5,,1500,MDN-SW,SOFT5,FINE,11
2023-05-30,NEWCASTLE,3,CROWN DUKE,1,SERG LISNYY,WENDY PLATTS,151.0,,1500,MDN-SW,SOFT5,FINE,11
2023-05-30,NEWCASTLE,3,DOUTELLE,9,NOT NOTIFIED,MATTHEW SMITH,12.0,,1500,MDN-SW,SOFT5,FINE,11
2023-05-30,NEWCASTLE,3,GALACTIC LEGEND,4,DYLAN GIBBONS,LES BRIDGE,1.4,2.0,1500,MDN-SW,SOFT5,FINE,11
2023-05-30,NEWCASTLE,3,MR EXTREME,8,RORY HUTCHINGS,MICHAEL FREEDMAN,19.0,,1500,MDN-SW,SOFT5,FINE,11
